"Water",400,"This is the 2nd largest fresh water lake in the world by surface area, and the 4th largest by volume","What is Lake Superior?","https://en.wikipedia.org/wiki/Lake_Superior"
"Water",800,"The name of this river is 11 letters long, but only uses 4 unique letters","What is the Mississippi river?","https://en.wikipedia.org/wiki/Mississippi_River"
"Water",1200,"This lake has higher salinity than the oceans","What is the Great Salt Lake?","https://en.wikipedia.org/wiki/Great_Salt_Lake"
"Water",1600,"This river has caught on fire more than a dozen times","What is the Cuyahoga River?","https://en.wikipedia.org/wiki/Cuyahoga_River"
"Water",2000,"Lake Canandaigua, Keuka, Senaca, Cayuga, and Owasco are known as this","What are the Finger Lakes?","https://en.wikipedia.org/wiki/Finger_Lakes"
Cities,400,"If you left NYC at 10:00 AM and flew straight for eight hours, you would arrive in this city at 12 noon","What is Honolulu?","https://en.wikipedia.org/wiki/Honolulu"
Cities,800,"This is a capital city, the 54th largest city in the USA, and is located in a state that has the same beginning and ending letter","What is Cleveland, Ohio?","https://en.wikipedia.org/wiki/Cleveland"
Cities,1200,"This city is the 20th largest in the US, does not belong to any state, and has no representation in congress","What is Washington DC?","https://en.wikipedia.org/wiki/Washington%2C_D.C."
Cities,1600,"This city has residents whose inhabitants originate from more than 140 countries and speak 224 different identified languages","What is Los Angeles?","https://en.wikipedia.org/wiki/Los_Angeles#Demographics"
Cities,2000,"This city is the southernmost point of the continental US","What is Key West?","https://en.wikipedia.org/wiki/Key_West"
Languages,400,"This group of people living in the US are called Dutch, but has members who still speak German as their main language","Who are the Amish?","https://en.wikipedia.org/wiki/Amish"
Languages,800,"This famous city when it was founded had French as its official language","What is New Orleans?","https://en.wikipedia.org/wiki/New_Orleans"
Languages,1200,"This language is spoken by 5 million people who live primarily in the states of New York and California","What is Chinese?","https://en.wikipedia.org/wiki/Chinese_Americans"
Languages,1600,"This part of the United States has declared Spanish as its official language","What is Puerto Rico?","https://en.wikipedia.org/wiki/Puerto_Rico"
Languages,2000,"After English, Spanish, and Chinese, this is the next most common language spoken in the USA","What is Tagalog?","https://en.wikipedia.org/wiki/Languages_of_the_United_States"
States,400,"If this state were a country, it would have the 5th largest economy in the world","What is California?","https://en.wikipedia.org/wiki/California#/"
States,800,"The states of Massachusetts, New Hampshire, Rhode Island, Connecticut, New York, Pennsylvania, New Jersey, Delaware, Maryland, Virginia, North Carolina, South Carolina, and Georgia have this in common","What were the 13 colonies?","https://en.wikipedia.org/wiki/Thirteen_Colonies"
States,1200,"The states of South Carolina, Mississippi, Florida, Alabama, Georgia, Louisiana, and Texas had this common political affiliation","What were the Confederate States of America or What was the Confederacy?","https://en.wikipedia.org/wiki/Confederate_States_of_America"
States,1600,"Before 2006, this one state spanned three separate timezones","What is Indiana?","https://en.wikipedia.org/wiki/Time_in_Indiana#County_petitions"
States,2000,"This state contains a park is neither a state nor a national park, but covers an area greater than Yellowstone, Yosemite, and the Grand Canyon combined","What is New York State?","https://en.wikipedia.org/wiki/Adirondack_Park"
History,400,"This American president commanded PT 109 during WW II and dated the actress Marilyn Monroe","Who was John F Kennedy?","https://en.wikipedia.org/wiki/John_F._Kennedy"
History,800,"This famous US president won an unprecedented four elections, launched the New Deal, and initiated the Mahattan Project","Who was Franklin Delano Roosevelt (FDR)?","https://en.wikipedia.org/wiki/Franklin_D._Roosevelt"
History,1200,"This famous American was the country's first post master and founded its first fire department","Who is Benjamin Franklin?","https://en.wikipedia.org/wiki/Benjamin_Franklin"
History,1600,"This famous city was originally called New Amsterdam","What is New York?","https://en.wikipedia.org/wiki/New_York_City#Dutch_rule"
History,2000,"This federation of five tribes spanned almost the entire northeast quarter the country 50 years before Christopher Columbus sailed for the New World","Who were the Iroqois?","https://en.wikipedia.org/wiki/Iroquois#/"
Culture,400,"Americans own almost 50 percent of the world's total of this item, weighing in at 120 of these per 100 people in the USA","What is a gun (firearm)?","https://en.wikipedia.org/wiki/Small_Arms_Survey"
Culture,800,"This classic American food is named after a type of meat it doesn't use","What is a hamburger?","https://en.wikipedia.org/wiki/Hamburger"
Culture,1200,"This character was the protagonist in two famous novels written by the author Samuel Clemens","Who was Tom Sawyer?","https://en.wikipedia.org/wiki/Mark_Twain"
Culture,1600,"This actor and producer starred in a movie about media baron William Randolph Hearst, and later did a radio broadcast that caused a national panic","Who is Orson Welles?","https://en.wikipedia.org/wiki/Orson_Welles"
Culture,2000,"This landmark luxury hotel casino won its 10th consecutive five-diamond award in 2020 and is notable for its Dancing Water fountain","What is the Bellagio?","https://en.wikipedia.org/wiki/Bellagio_(resort)"
